player,rating,acs,kd,kast,adr,kpr,apr,fk_fd_ratio,fkpr,fdpr,hs_percent,cl_percent
johnqtSEN,1.28,216.3,1.39,79%,141.9,0.79,0.3,1.6,0.04,0.03,31%,23%
dgzinEG,1.22,242,1.36,73%,155.5,0.89,0.16,1.56,0.21,0.13,28%,11%
valynG2,1.18,229.9,1.27,79%,145.3,0.81,0.35,2.44,0.09,0.04,27%,16%
koalanoobFUR,1.16,236.8,1.24,73%,148.7,0.86,0.2,1.28,0.2,0.15,24%,18%
NeonLEV,1.14,211.5,1.26,75%,135.3,0.76,0.14,2.33,0.22,0.09,25%,27%
Demon1ENVY,1.13,232.9,1.23,73%,156.1,0.85,0.15,1.05,0.13,0.13,37%,6%
lukxoLOUD,1.13,228.1,1.21,71%,151.2,0.83,0.14,0.73,0.13,0.18,31%,6%
BABYBAYG2,1.1,214.8,1.21,72%,141,0.78,0.22,1.36,0.15,0.11,19%,12%
Cryocells100T,1.1,217,1.22,73%,141.2,0.8,0.1,1.45,0.14,0.1,29%,17%
bang100T,1.1,188.8,1.1,75%,122.3,0.68,0.32,0.89,0.05,0.06,36%,12%
InspireENVY,1.09,200,1.11,69%,136.3,0.71,0.22,0.95,0.08,0.09,33%,12%
brawkNRG,1.09,195.5,1.08,71%,131,0.67,0.27,1.22,0.07,0.06,21%,16%
trentG2,1.09,191.9,1.11,76%,129,0.69,0.33,1,0.05,0.05,28%,13%
VernoMIBR,1.09,205.9,1.13,79%,134.5,0.71,0.29,1.37,0.07,0.05,29%,12%
madaNRG,1.08,220.7,1.16,71%,138.8,0.78,0.21,1.24,0.19,0.16,30%,13%
v1cC9,1.08,196.6,1.1,77%,127.3,0.7,0.34,1.04,0.08,0.08,27%,25%
skubaNRG,1.07,184.9,1.09,76%,127.2,0.66,0.23,1.19,0.08,0.07,30%,31%
keikoNRG,1.07,200.4,1.09,73%,127.8,0.73,0.25,1.13,0.08,0.08,36%,7%
artzinFUR,1.06,188.8,1.11,75%,123.2,0.69,0.36,0.95,0.07,0.08,30%,28%
OXYC9,1.06,225.2,1.15,68%,144.7,0.85,0.11,1.29,0.21,0.17,27%,13%
eeiuFUR,1.05,177.5,1.1,74%,117.6,0.65,0.28,0.86,0.05,0.05,26%,12%
supamenEG,1.04,190.5,1,73%,124.2,0.64,0.34,1.77,0.09,0.05,37%,4%
XeppaaC9,1.04,197.2,1.04,76%,127.6,0.68,0.33,0.93,0.04,0.04,25%,10%
leafG2,1.04,200.5,1.09,73%,134.7,0.73,0.25,0.83,0.07,0.09,25%,20%
zekkenMIBR,1.03,204.1,1.01,75%,131.1,0.69,0.32,1.22,0.14,0.11,27%,18%
RossyENVY,1.02,190.8,1.02,70%,120.8,0.67,0.32,0.94,0.05,0.06,25%,8%
keznitENVY,1.01,215.8,1.04,72%,138.5,0.75,0.2,1.02,0.14,0.14,27%,17%
kiNggLEV,1.01,189.2,1.03,68%,120.5,0.68,0.25,0.78,0.06,0.08,33%,13%
PxSLEV,1.01,172.6,0.98,67%,116.8,0.62,0.19,1.5,0.09,0.06,23%,14%
vora100T,0.99,193.9,0.95,74%,125.1,0.65,0.34,1,0.07,0.07,29%,8%
aspasMIBR,0.98,196.2,1.11,70%,130.7,0.72,0.12,0.98,0.13,0.13,26%,7%
Asuna100T,0.97,171.5,0.89,76%,107.1,0.58,0.49,0.68,0.05,0.08,22%,6%
MazinoMIBR,0.97,197.1,0.96,69%,129.5,0.69,0.34,0.79,0.07,0.09,27%,7%
baoEG,0.96,188.5,0.93,71%,132.5,0.66,0.28,0.65,0.07,0.1,28%,14%
NagZKRÜ,0.95,157.5,0.83,66%,111.5,0.56,0.24,0.56,0.05,0.1,27%,19%
pennyC9,0.95,189.1,0.99,70%,128,0.69,0.23,0.7,0.11,0.16,21%,8%
ReduxxSEN,0.95,189,0.96,67%,127.4,0.68,0.22,1.06,0.18,0.17,33%,
mtaKRÜ,0.94,184.9,0.91,70%,114.7,0.66,0.2,1.06,0.11,0.1,29%,23%
nerveFUR,0.93,168.3,0.92,73%,114.8,0.59,0.32,1,0.04,0.04,21%,12%
blowzLEV,0.93,175.5,0.94,71%,114.8,0.61,0.22,0.67,0.03,0.05,26%,8%
Timotino100T,0.93,218.7,0.95,67%,145.3,0.75,0.22,1.01,0.19,0.19,28%,17%
alymFUR,0.93,195.8,0.99,72%,124.3,0.69,0.24,1.24,0.18,0.14,29%,29%
DarkerLOUD,0.92,188.3,0.88,69%,120.4,0.67,0.29,1.08,0.1,0.09,24%,27%
